feature,phase,family,cohens_d,abs_d,r_pb,r_cont_est,r_pearson,p_pearson,rho_spearman,p_spearman,p_ttest,view,target,q_fdr_pearson,q_fdr_ttest,sig_fdr_05
5-RIGHT-ARM-ANGLE,5,RIGHT-ARM-ANGLE,-0.02997350826912359,0.02997350826912359,-0.015061213199333866,-0.018879486677850985,-0.007474555830380772,0.8538315882140162,-0.021663941207398497,0.5933241799565359,0.8130619673802889,FACEON,AbsDir,0.9117184755505596,0.8967827093293469,0
5-SHOULDER-ANGLE,5,SHOULDER-ANGLE,0.5507345750452686,0.5507345750452686,0.2665288399626124,0.3340984299697565,0.20900519270403414,1.9419721820273927e-07,0.26249056447736746,4.7000246638051174e-11,2.0266151047983256e-05,FACEON,AbsDir,1.5293030933465718e-06,8.656050956087764e-05,1
5-SHOULDER-HANGING-BACK,5,SHOULDER-HANGING-BACK,0.81297097077442,0.81297097077442,0.3770503363378422,0.4726390037480092,0.12363740344215099,0.002220030656457003,0.28682921964433994,5.125917559553943e-13,8.713155398215402e-10,FACEON,AbsDir,0.006906762042310675,1.0978575801751405e-08,1
6-HEAD-LOC,6,HEAD-LOC,0.15381005846887813,0.15381005846887813,0.07734192341297329,0.0969494152555507,0.053326914291302666,0.1943300796883225,0.0418711344715939,0.30830487642561527,0.23558978468411085,FACEON,AbsDir,0.32217881632537676,0.35980985297209656,0
6-HIP-SHIFTED,6,HIP-SHIFTED,-0.08570442288490712,0.08570442288490712,-0.04366244713634077,-0.05473161943351131,-0.029429983009590696,0.47404374727559584,-0.0945567131244063,0.02117447626518878,0.5028405644825755,FACEON,AbsDir,0.6457244557483792,0.6498247294851746,0
6-LEFT-ARM-ANGLE,6,LEFT-ARM-ANGLE,-0.14247964578209132,0.14247964578209132,-0.07079501882676284,-0.08874275910636424,-0.07310073854745952,0.07503519868645048,-0.019015929233672013,0.6437055924772903,0.27683677753713093,FACEON,AbsDir,0.15127096055188416,0.4127980351441242,0
6-RIGHT-LEG-ANGLE,6,RIGHT-LEG-ANGLE,-0.10557340659091514,0.10557340659091514,-0.053435733972962494,-0.06698260055892138,-0.013459415681643463,0.7431877440527959,-0.07974214903167914,0.05188019678991751,0.4119556732145594,FACEON,AbsDir,0.8436185202761466,0.5581334927423063,0
6-WEIGHT-SHIFT,6,WEIGHT-SHIFT,0.05632911146504195,0.05632911146504195,0.028429886563610514,0.03563734591143286,0.011952349061041,0.7710922886027386,-0.009973502578583435,0.8081802239076405,0.6625770874838723,FACEON,AbsDir,0.8674788246780809,0.7555177649137368,0
7-FINISH-ANGLE,7,FINISH-ANGLE,-0.18311119058421604,0.18311119058421604,-0.09164194711839412,-0.1148747379680256,-0.04275884634087894,0.3081656502062485,-0.06856727580396643,0.10197512104294065,0.1726754630287265,FACEON,AbsDir,0.4541388529355241,0.2844066449884907,0
7-HIP-SHIFTED,7,HIP-SHIFTED,-0.37576556519425147,0.37576556519425147,-0.18729490121723524,-0.23477734134436146,-0.09115945825715763,0.02968718312714296,-0.1720017179485508,3.7132004336100275e-05,0.005021808450739476,FACEON,AbsDir,0.0719343283465387,0.013182247183191125,0
0-SHOULDER-ANGLE,0,SHOULDER-ANGLE,0.2538161215649976,0.2538161215649976,0.12640498567273079,0.15842515557079676,0.054692081438150394,0.17625992012375402,0.13407077070614398,0.0008756731502673752,0.04766620008605129,FACEON,AbsSpin,0.3063275853185242,0.09845805263676168,0
0-STANCE-RATIO,0,STANCE-RATIO,0.14334215434848846,0.14334215434848846,0.0717785864726047,0.08996111718263859,-0.0062774757105550985,0.8767367303364954,0.1267983242406884,0.001657030223001848,0.2623435955596099,FACEON,AbsSpin,0.9167537595219786,0.3956721733782551,0
0-UPPER-TILT,0,UPPER-TILT,0.15761132158296762,0.15761132158296762,0.0788814134277867,0.0988631906204738,0.10206666784444213,0.011455097538769743,-0.0032439057608499703,0.9361166717639086,0.21770257676399737,FACEON,AbsSpin,0.0303861534712629,0.33657085487440086,1
1-HEAD-LOC,1,HEAD-LOC,0.16828341082889936,0.16828341082889936,0.08418592536039621,0.10551141041717206,0.02137721431154009,0.5973223310400367,0.09569283527258578,0.017795396836723442,0.1891595442872026,FACEON,AbsSpin,0.7451743931786596,0.3055654176947119,0
1-HIP-ROTATION,1,HIP-ROTATION,-0.029898648675448142,0.029898648675448142,-0.015008776274350894,-0.018810711488449438,-0.002575386582261722,0.9492620280917979,0.06190688732507613,0.1257489085948514,0.8149334937953192,FACEON,AbsSpin,0.9635780008550313,0.8967827093293469,0
1-HIP-SHIFTED,1,HIP-SHIFTED,0.09112679874752858,0.09112679874752858,0.04570195051944672,0.05727890068891604,0.053369094462791145,0.18732994302279984,-0.20635997549523633,2.6026326031183184e-07,0.47619553983177365,FACEON,AbsSpin,0.3189672002820646,0.6311153041485071,0
